City,State,Pollution
Los Angeles,CA,116.2
Salt Lake City,UT,120.6
New York,NY,101.9
Phoenix,AZ,98.3
Houston,TX,97.3
San Jose,CA,94.0
San Francisco,CA,91.7
Las Vegas,NV,88.8
Chicago,IL,86.2
Pittsburgh,PA,84.3
Washington,DC,81.9
Sacramento,CA,82.5
San Antonio,TX,75.8
Atlanta,GA,75.3
Denver,CO,77.5
Dallas,TX,72.9
Austin,TX,72.5
San Diego,CA,73.1
Miami,FL,65.0
Honolulu,HI,64.6
Seattle,WA,64.2
Charlotte,NC,60.2
Portland,OR,60.3
Orlando,FL,58.1
Tampa,FL,56.4
Milwaukee,WI,57.6
Raleigh,NC,54.5
Columbus,OH,54.0
Boston,MA,54.6
Minneapolis,MN,52.0
Tucson,AZ,51.3
